node_no,x,y
252,0.01171875,0.22265625
253,0.01171875,0.2265625
254,0.01171875,0.23046875
255,0.01171875,0.234375
256,0.01171875,0.23828125
257,0.01171875,0.2421875
258,0.01171875,0.24609375
259,0.01171875,0.25
260,0.015625,0.0
261,0.015625,0.00390625
262,0.015625,0.0078125
263,0.015625,0.01171875
264,0.015625,0.015625
265,0.015625,0.01953125
266,0.015625,0.0234375
267,0.015625,0.02734375
268,0.015625,0.03125
269,0.015625,0.03515625
270,0.015625,0.0390625
271,0.015625,0.04296875
272,0.015625,0.046875
273,0.015625,0.05078125
274,0.015625,0.0546875
275,0.015625,0.05859375
276,0.015625,0.0625
277,0.015625,0.06640625
278,0.015625,0.0703125
279,0.015625,0.07421875
280,0.015625,0.078125
281,0.015625,0.08203125
282,0.015625,0.0859375
283,0.015625,0.08984375
284,0.015625,0.09375
285,0.015625,0.09765625
286,0.015625,0.1015625
287,0.015625,0.10546875
288,0.015625,0.109375
289,0.015625,0.11328125
290,0.015625,0.1171875
291,0.015625,0.12109375
292,0.015625,0.125
293,0.015625,0.12890625
294,0.015625,0.1328125
295,0.015625,0.13671875
296,0.015625,0.140625
297,0.015625,0.14453125
298,0.015625,0.1484375
299,0.015625,0.15234375
300,0.015625,0.15625
301,0.015625,0.16015625
302,0.015625,0.1640625
303,0.015625,0.16796875
304,0.015625,0.171875
305,0.015625,0.17578125
306,0.015625,0.1796875
307,0.015625,0.18359375
308,0.015625,0.1875
309,0.015625,0.19140625
310,0.015625,0.1953125
311,0.015625,0.19921875
312,0.015625,0.203125
313,0.015625,0.20703125
314,0.015625,0.2109375
315,0.015625,0.21484375
316,0.015625,0.21875
317,0.015625,0.22265625
318,0.015625,0.2265625
319,0.015625,0.23046875
320,0.015625,0.234375
321,0.015625,0.23828125
322,0.015625,0.2421875
323,0.015625,0.24609375
324,0.015625,0.25
325,0.01953125,0.0
326,0.01953125,0.00390625
327,0.01953125,0.0078125
328,0.01953125,0.01171875
329,0.01953125,0.015625
330,0.01953125,0.01953125
331,0.01953125,0.0234375
332,0.01953125,0.02734375
333,0.01953125,0.03125
334,0.01953125,0.03515625
335,0.01953125,0.0390625
336,0.01953125,0.04296875
337,0.01953125,0.046875
338,0.01953125,0.05078125
339,0.01953125,0.0546875
340,0.01953125,0.05859375
341,0.01953125,0.0625
342,0.01953125,0.06640625
343,0.01953125,0.0703125
344,0.01953125,0.07421875
345,0.01953125,0.078125
346,0.01953125,0.08203125
347,0.01953125,0.0859375
348,0.01953125,0.08984375
349,0.01953125,0.09375
350,0.01953125,0.09765625
351,0.01953125,0.1015625
352,0.01953125,0.10546875
353,0.01953125,0.109375
354,0.01953125,0.11328125
355,0.01953125,0.1171875
356,0.01953125,0.12109375
357,0.01953125,0.125
358,0.01953125,0.12890625
359,0.01953125,0.1328125
360,0.01953125,0.13671875
361,0.01953125,0.140625
362,0.01953125,0.14453125
363,0.01953125,0.1484375
364,0.01953125,0.15234375
365,0.01953125,0.15625
366,0.01953125,0.16015625
367,0.01953125,0.1640625
368,0.01953125,0.16796875
369,0.01953125,0.171875
370,0.01953125,0.17578125
371,0.01953125,0.1796875
372,0.01953125,0.18359375
373,0.01953125,0.1875
374,0.01953125,0.19140625
375,0.01953125,0.1953125
376,0.01953125,0.19921875
377,0.01953125,0.203125
378,0.01953125,0.20703125
379,0.01953125,0.2109375
380,0.01953125,0.21484375
381,0.01953125,0.21875
382,0.01953125,0.22265625
